ItemID,ItemName,Description,Price,Available,Category,ImageURL
1,Krunch Burger,"Krunch fillet, spicy mayo, lettuce, sandwiched between a sesame seed bun",310,TRUE,Everyday Value,https://res.cloudinary.com/dugce9wqz/image/upload/v1738260660/Restaurants/kfc/menu/1.png
2,Zingeratha,"Tender boneless strips, sliced onions, tangy imli chutney, mint mayo, wrapped in a soft paratha",390,TRUE,Everyday Value,https://res.cloudinary.com/dugce9wqz/image/upload/v1738260662/Restaurants/kfc/menu/2.png
3,Rice & Spice,Spiced and buttery rice with 6 pcs of Hot Shots topped with our signature Vietnamese sauce,390,TRUE,Everyday Value,https://res.cloudinary.com/dugce9wqz/image/upload/v1738260665/Restaurants/kfc/menu/3.png
4,Krunch Burger + Drink,1 Krunch burger + 1 Regular drink,410,TRUE,Everyday Value,https://res.cloudinary.com/dugce9wqz/image/upload/v1738260668/Restaurants/kfc/menu/4.png
5,Boneless Strips,3 Chicken strips for a hassle free boneless experience,440,TRUE,Everyday Value,https://res.cloudinary.com/dugce9wqz/image/upload/v1738260671/Restaurants/kfc/menu/5.png
6,Twister,"Tender boneless strips, black pepper mayo, diced tomatoes and lettuce- wrapped in a tortilla",440,TRUE,Everyday Value,https://res.cloudinary.com/dugce9wqz/image/upload/v1738260673/Restaurants/kfc/menu/6.png
7,Krunch Combo,1 Krunch burger + 1 Regular fries + 1 Regular drink,590,TRUE,Everyday Value,https://res.cloudinary.com/dugce9wqz/image/upload/v1738260679/Restaurants/kfc/menu/7.png
8,Chicken & Chips,2 pieces of Hot and Crispy Fried Chicken+ Fries + Dinner roll+ signature Vietnamese Sauce,620,TRUE,Everyday Value,https://res.cloudinary.com/dugce9wqz/image/upload/v1738260682/Restaurants/kfc/menu/8.png
9,Krunch Chicken Combo,1 Krunch burger + 1 pc of Hot and Crispy Fried Chicken + 1 Regular drink,620,TRUE,Everyday Value,https://res.cloudinary.com/dugce9wqz/image/upload/v1738260685/Restaurants/kfc/menu/9.png
10,3 Pcs Chicken,3 pieces of Hot and Crispy Fried Chicken,690,TRUE,Everyday Value,https://res.cloudinary.com/dugce9wqz/image/upload/v1738260689/Restaurants/kfc/menu/10.png
11,Twister Combo,Twister + 1 Regular fries + 1 Regular drink,710,TRUE,Everyday Value,https://res.cloudinary.com/dugce9wqz/image/upload/v1738260691/Restaurants/kfc/menu/11.png
12,Zinger Burger,"Our hero- crispy Zinger fillet, signature mayo and lettuce- sandwiched between a sesame seed bun",600,TRUE,Ala-Carte-&-Combos,https://res.cloudinary.com/dugce9wqz/image/upload/v1738260693/Restaurants/kfc/menu/12.png
13,Zinger Stacker,"Double krunch fillet, jalapenos, spicy mayo, lettuce and cheese with our signature Vietnamese sauce- sandwiched between a corn meal bun",660,TRUE,Ala-Carte-&-Combos,https://res.cloudinary.com/dugce9wqz/image/upload/v1738260697/Restaurants/kfc/menu/13.png
14,Kentucky Burger,"OG Zinger fillet layered with beef pepperoni, crispy fried onions, cheese and smokey BBQ sauce- sandwiched between an herb and black sesame bun",660,TRUE,Ala-Carte-&-Combos,https://res.cloudinary.com/dugce9wqz/image/upload/v1738260701/Restaurants/kfc/menu/14.png
15,Mighty Zinger,"Our signature Zinger but Bigger! Double Zinger fillet with a combination of spicy and plain mayo, lettuce and cheese- sandwiched between a sesame seed bun",770,TRUE,Ala-Carte-&-Combos,https://res.cloudinary.com/dugce9wqz/image/upload/v1738260704/Restaurants/kfc/menu/15.png
16,Zinger Combo,Zinger burger + 1 Regular fries+ 1 Regular drink,910,TRUE,Ala-Carte-&-Combos,https://res.cloudinary.com/dugce9wqz/image/upload/v1738260707/Restaurants/kfc/menu/16.png
17,Zinger Stacker Combo,1 Zinger Stacker + 1 Regular fries + 1 Regular drink,950,TRUE,Ala-Carte-&-Combos,https://res.cloudinary.com/dugce9wqz/image/upload/v1738260711/Restaurants/kfc/menu/17.png
18,Kentucky Burger Combo,Kentucky burger + 1 Regular fries+ 1 Regular drink,950,TRUE,Ala-Carte-&-Combos,https://res.cloudinary.com/dugce9wqz/image/upload/v1738260714/Restaurants/kfc/menu/18.png
19,Mighty Zinger Combo,Mighty Zinger+ 1 Regular fries + 1 Regular drink,1050,TRUE,Ala-Carte-&-Combos,https://res.cloudinary.com/dugce9wqz/image/upload/v1738260716/Restaurants/kfc/menu/19.png
20,Zinger Got Wings,2 Zinger Burgers + 2 Regular Drinks + Wings Bucket (6 pcs),1150,FALSE,Promotion,https://res.cloudinary.com/dugce9wqz/image/upload/v1738260719/Restaurants/kfc/menu/20.png
21,Crispy Box,In mood for something crispy? Get 2 pcs Hot & Crispy Chicken + 1 Regular fries + 1 Regular drink + 1 Coleslaw,710,TRUE,Signature-Boxes,https://res.cloudinary.com/dugce9wqz/image/upload/v1738260723/Restaurants/kfc/menu/21.png
22,Boneless Box,Hassle free boneless experience with 4 Chicken strips + 1 Coleslaw + 1 Regular fries + 1 Regular drink + 1 Dip + 1 Dinner roll,710,TRUE,Signature-Boxes,https://res.cloudinary.com/dugce9wqz/image/upload/v1738260727/Restaurants/kfc/menu/22.png
23,Wow Box,Feel good with 1 Signature Zinger + 1 pc Hot & Crispy Chicken + 1 Regular fries + 1 Regular drink + 1 Coleslaw,1050,TRUE,Signature-Boxes,https://res.cloudinary.com/dugce9wqz/image/upload/v1738260731/Restaurants/kfc/menu/23.png
24,Crispy Duo Box,Turn up the fun with 5 pcs Hot & Crispy Chicken + 1 Large fries + 2 Regular drinks,1350,TRUE,Signature-Boxes,https://res.cloudinary.com/dugce9wqz/image/upload/v1738260734/Restaurants/kfc/menu/24.png
25,Xtreme Duo Box,The irresistible combo of 2 Signature Zingers + 2 pcs Hot & Crispy Chicken + 1 Large fries + 2 Regular drinks,1560,TRUE,Signature-Boxes,https://res.cloudinary.com/dugce9wqz/image/upload/v1738260737/Restaurants/kfc/menu/25.png
26,Value Bucket,Our pride and joy: hand-breaded and fried to perfection in house. 9 pcs of Colonel’s Signature Crispy Fried Chicken. It's finger lickin' good. Rs. 50 from Every Bucket Sold Goes to Mitao Bhook Foundation.,2050,TRUE,Sharing,https://res.cloudinary.com/dugce9wqz/image/upload/v1738260739/Restaurants/kfc/menu/26.png
27,Family Festival 1,A feel-good meal for the fam. It includes 4 Krunch burgers+ 4 pieces Hot and Crispy Chicken+ 2 Dinner Rolls + 1.5 Liter drink,2210,TRUE,Sharing,https://res.cloudinary.com/dugce9wqz/image/upload/v1738260743/Restaurants/kfc/menu/27.png
28,Family Festival 2,A hearty meal for the fam. It includes 2 Zinger burgers + 2 Krunch burgers + 4 pieces Hot and Crispy Chicken + 2 Dinner rolls + 1.5 Liter drink,2410,TRUE,Sharing,https://res.cloudinary.com/dugce9wqz/image/upload/v1738260748/Restaurants/kfc/menu/28.png
29,Family Festival 3,An ultimate meal for the fam. It includes 4 Zinger burgers + 4 pieces Hot and Crispy Chicken + 2 Dinner rolls + 1.5 Liter drink,2610,TRUE,Sharing,https://res.cloudinary.com/dugce9wqz/image/upload/v1738260752/Restaurants/kfc/menu/29.png
30,Dinner Roll,"Soft and fluffy, it complements any meal perfectly",70,TRUE,Snacks-&-Beverages,https://res.cloudinary.com/dugce9wqz/image/upload/v1738260761/Restaurants/kfc/menu/30.png
31,Mayo Dip,Creamy mayo for your dipping needs,70,TRUE,Snacks-&-Beverages,https://res.cloudinary.com/dugce9wqz/image/upload/v1738260767/Restaurants/kfc/menu/31.png
32,Vietnamese Dip,Our spicy and sour signature sauce. Pair it with our fried chicken and fries for the win,70,TRUE,Snacks-&-Beverages,https://res.cloudinary.com/dugce9wqz/image/upload/v1738260774/Restaurants/kfc/menu/32.png
33,Mineral Water 500ml,Mineral Water 500ml: Stay hydrated with our refreshing and pure mineral water in a convenient 500ml bottle,110,TRUE,Snacks-&-Beverages,https://res.cloudinary.com/dugce9wqz/image/upload/v1738260781/Restaurants/kfc/menu/33.png
34,Coleslaw,Sliced cabbage and carrots tossed in mayo,170,TRUE,Snacks-&-Beverages,https://res.cloudinary.com/dugce9wqz/image/upload/v1738260784/Restaurants/kfc/menu/34.png
35,Pepsi Regular,Pepsi Regular: Quench your thirst with the classic taste of Pepsi in a regular-sized bottle 345ml,200,TRUE,Snacks-&-Beverages,https://res.cloudinary.com/dugce9wqz/image/upload/v1738260790/Restaurants/kfc/menu/35.png
36,7UP Regular,7UP Regular: Experience the crisp and refreshing taste of 7UP in a regular-sized bottle 345ml,200,TRUE,Snacks-&-Beverages,https://res.cloudinary.com/dugce9wqz/image/upload/v1738260796/Restaurants/kfc/menu/36.png
37,Mirinda Regular,Mirinda Regular: Satisfy your taste buds with the vibrant and fizzy flavor of Mirinda in a regular-sized bottle 345ml,200,TRUE,Snacks-&-Beverages,https://res.cloudinary.com/dugce9wqz/image/upload/v1738260803/Restaurants/kfc/menu/37.png
38,Mountain Dew Regular,Mountain Dew Regular: Energize yourself with the bold and exhilarating taste of Mountain Dew in a regular-sized bottle 345ml,200,TRUE,Snacks-&-Beverages,https://res.cloudinary.com/dugce9wqz/image/upload/v1738260805/Restaurants/kfc/menu/38.png
39,1.5 Ltr Drink,"Get a large serving of refreshment with our 1.5 Ltr Drink at KFC. Perfect for sharing, indulge in your favorite drink and enjoy the convenience of a larger size.",270,TRUE,Snacks-&-Beverages,https://res.cloudinary.com/dugce9wqz/image/upload/v1738260814/Restaurants/kfc/menu/39.png
40,Corn On The Cob,Boiled sweet corn brushed with butter,310,TRUE,Snacks-&-Beverages,https://res.cloudinary.com/dugce9wqz/image/upload/v1738260819/Restaurants/kfc/menu/40.png
41,One Piece Chicken,1 piece of Hot & Crispy Fried Chicken,320,TRUE,Snacks-&-Beverages,https://res.cloudinary.com/dugce9wqz/image/upload/v1738260822/Restaurants/kfc/menu/41.png
42,Fries,Crispy and Golden Fries,340,TRUE,Snacks-&-Beverages,https://res.cloudinary.com/dugce9wqz/image/upload/v1738260827/Restaurants/kfc/menu/42.png
43,Masala Fries,Masala Crispy and Golden Fries,360,TRUE,Snacks-&-Beverages,https://res.cloudinary.com/dugce9wqz/image/upload/v1738260832/Restaurants/kfc/menu/43.png
44,Fries Bucket,Fries Bucket with Dip,470,TRUE,Snacks-&-Beverages,https://res.cloudinary.com/dugce9wqz/image/upload/v1738260843/Restaurants/kfc/menu/44.png
45,Hot Shots,9 Pcs of hand-breaded Hot Shots,480,TRUE,Snacks-&-Beverages,https://res.cloudinary.com/dugce9wqz/image/upload/v1738260846/Restaurants/kfc/menu/45.png
46,Masala Fries Bucket,Masala Crispy and Golden Fries Bucket,490,TRUE,Snacks-&-Beverages,https://res.cloudinary.com/dugce9wqz/image/upload/v1738260851/Restaurants/kfc/menu/46.png
47,Buffalo Wings,"8 Pcs of Hot Wings coated with a spicy Buffalo sauce, topped with chili flakes",640,TRUE,Snacks-&-Beverages,https://res.cloudinary.com/dugce9wqz/image/upload/v1738260856/Restaurants/kfc/menu/47.png
48,Thai Sweet Chilli Wings,"8 Pcs of Hot Wings coated with a Sweet Thai Chili sauce, topped with sesame seeds",640,TRUE,Snacks-&-Beverages,https://res.cloudinary.com/dugce9wqz/image/upload/v1738260862/Restaurants/kfc/menu/48.png
49,Tangy Masala Wings,"8 pcs of Hot Wings coated in a sweet and tangy sauce, dusted with chaat masala",640,TRUE,Snacks-&-Beverages,https://res.cloudinary.com/dugce9wqz/image/upload/v1738260867/Restaurants/kfc/menu/49.png
50,Salsa Sprinkle Wings,8 Pcs Salsa Sprinkle Wings Bucket,640,TRUE,Snacks-&-Beverages,https://res.cloudinary.com/dugce9wqz/image/upload/v1738260873/Restaurants/kfc/menu/50.png
51,Snack Bucket,4 Hot Wings + 4 Hot Shots + 2 Strips and 1 Dip. Satisfy your cravings with our snack bucket.,650,FALSE,Snacks-&-Beverages,https://res.cloudinary.com/dugce9wqz/image/upload/v1738260878/Restaurants/kfc/menu/51.png
52,Hot Wings Bucket,10 Pcs of our Signature Hot & Crispy Wings,670,FALSE,Snacks-&-Beverages,https://res.cloudinary.com/dugce9wqz/image/upload/v1738260883/Restaurants/kfc/menu/52.png
53,Midnight Deal 1,1 Zinger burger + 1 regular drink,520,TRUE,Midnight (Start at 11 am),https://res.cloudinary.com/dugce9wqz/image/upload/v1738260887/Restaurants/kfc/menu/53.png
54,Midnight Deal 2,2 Krunch burgers + 2 regular drinks,610,TRUE,Midnight (Start at 11 am),https://res.cloudinary.com/dugce9wqz/image/upload/v1738260891/Restaurants/kfc/menu/54.png
55,Midnight Deal 3,Mighty Zinger + Regular drink,710,TRUE,Midnight (Start at 11 am),https://res.cloudinary.com/dugce9wqz/image/upload/v1738260897/Restaurants/kfc/menu/55.png
56,Crazy Tuesday ,2 pieces of Hot and Crispy Fried Chicken and Fries,390,FALSE,Promotion,https://res.cloudinary.com/dugce9wqz/image/upload/v1738260901/Restaurants/kfc/menu/56.png
57,It’s 3rilling!,3 Zinger Burgers +3 Chicken Drumsticks+ 1 Fries Bucket + 3 Regular Drinks,1690,FALSE,Promotion,https://res.cloudinary.com/dugce9wqz/image/upload/v1738260911/Restaurants/kfc/menu/57.png
58,NUST Bites Special,1 Zinger burger + 1 regular drink,550,TRUE,Promotion,https://res.cloudinary.com/dugce9wqz/image/upload/v1738260916/Restaurants/kfc/menu/58.png
59,Cheesy Chicken Loaded Fries,"Topped with crispy hot shots, cheese sauce and spicy jalapeños—it's the ultimate flavor-packed treat!",650,TRUE,Snacks-&-Beverages,https://res.cloudinary.com/dugce9wqz/image/upload/v1738260921/Restaurants/kfc/menu/59.png
60,K-Zing,K-Zing features a Zinger fillet dunked in our signature black Korean sauce.,650,TRUE,Promotion,https://res.cloudinary.com/dugce9wqz/image/upload/v1738260928/Restaurants/kfc/menu/60.png
61,K-Zing Combo,1 K-Zing Burger + 1 Regular fries+ 1 Regular drink,940,TRUE,Promotion,https://res.cloudinary.com/dugce9wqz/image/upload/v1738260937/Restaurants/kfc/menu/61.png
62,Champions Deal,Order via KFC app (F-11 Pickup) & get it delivered for Rs. 75!,75,FALSE,Promotion,https://res.cloudinary.com/dugce9wqz/image/upload/v1738260693/Restaurants/kfc/menu/12.png
63,Leg Piece Bucket,Get 9 crispy fried drumsticks for just Rs. 1590—a feast you don’t want to miss!,1590,FALSE,Ramzan Offers,https://www.kfcpakistan.com/images/e1a91510-f617-11ef-ae15-8fde7ae9cc22-App-Web-Kiosk-Thumbnail-500x500_variant_0-2025-02-28210630.png
64,Iftar Ki Baithak,"Enjoy 3 Zingers, 8 Wings, 1 Fries Bucket, and 3 Drinks for just Rs. 1790!",1790,FALSE,Ramzan Offers,https://www.kfcpakistan.com/images/df6e46a0-f61f-11ef-8099-b3a31e813af9-500x500-2025-02-28220342.png
